CRED HRS,LOAD,"Part
Time","
Dept","
Subj","
Numb","
CRN","
Course Title","Begin
Time","End 
Time","
Days","
Bldg","
Room","
Schd","
Instructor",CRED HRS,LOAD,"
Cap","Avail
Seats","Low 
Enrl","
Closed"
201420,HM,1,ART,ART,356,35724,Web Design,1300,1445,WF,RUPP,229,G,Art Adjunct,4,4,19,1,,
201420,HM,1,ART,ART,356,35766,Web Design,1800,2130,R,MMVA,207,G,Curtis Ellis,4,4,18,9,,
201420,HM,1,ART,ART,370,36062,IS Illustration II: Vis Narr,,,,,,I,Jonathan Bouw,3,3,3,0,YES,YES
201420,HM,1,ART,ART,372,35490,Sculpture II,1100,1250,MW,MMVA,106,G,Joshua Welker,3,3,16,8,,
201420,HM,1,ART,ART,382,34934,The Christian and the Arts,900,950,TR,RUPP,203,S,Rachel Smith,2,2,25,6,,
201420,HM,1,ART,ART,383,35225,Christian & Arts: Art Educ,900,950,TR,RUPP,203,G,Rachel Smith,1,1,5,4,YES,
201420,HM,1,ART,ART,413,35767,Contemporary Art,1530,1650,TR,RUPP,203,G,Rachel Smith,3,3,30,15,,
201420,HM,1,ART,ART,442,35929,IS Advanced Relief Printing,,,,,,I,Suzanne Dittenber,3,3,1,0,YES,YES
201420,HM,1,ART,ART,451,35735,Video Art,1100,1250,MF,MMVA,207,G,Curtis Ellis,3,3,16,8,,
201420,HM,1,ART,ART,456,36018,IS Web Animation,,,,,,I,Curtis Ellis,4,4,1,0,YES,YES
201420,HM,1,ART,ART,471,35492,Sculpture III,1100,1250,MW,MMVA,106,G,Joshua Welker,3,3,16,14,YES,
201420,HM,1,ART,ART,484,35777,Senior Thesis II,1800,2100,T,MMVA,8,G,Joshua Welker,3,3,20,9,,
201420,HM,1,ART,ART,484,36019,IS Senior Thesis II,,,,,,I,Joshua Welker,3,3,1,0,YES,YES
201420,HM,1,ART,ART,485,34573,Senior Exhibition:Graphics,1700,1900,M,MMVA,206,I,Curtis Ellis,3,3,30,22,,
201420,HM,1,ART,ART,485,35873,IS Senior Exhibition,,,,,,I,Curtis Ellis,3,3,1,1,YES,
201420,HM,1,ART,HUM,250,36074,Latin Dance Participation Arts,,,,,,G,Art Adjunct,1,1,14,0,,YES
201420,HM,1,ART,HUM,250C,34584,P.A. Ceramics,930,1045,T,MMVA,108,G,Susan Nace,1,1,12,0,,YES
201420,HM,1,ART,HUM,250D,35015,P.A. Drawing,1100,1150,R,MMVA,210,G,Art Adjunct,1,1,15,-3,,YES
